proj,cat,split,err
aals,reference_test,0,2.249049134840342
aals,reference_test,1,2.1652178051662663
aals,reference_test,2,2.057334434177138
aals,reference_test,3,2.2151885057295595
aals,reference_test,4,2.1251125388341014
aals,studymod_test,0,2.794073703843685
aals,studymod_test,1,2.7664739701902974
aals,studymod_test,2,2.6127304964585423
aals,studymod_test,3,2.7838694386300444
aals,studymod_test,4,2.7895119943405464
ceft,reference_test,0,2.2591379277374015
ceft,reference_test,1,2.297582458577338
ceft,reference_test,2,2.266202054822754
ceft,reference_test,3,2.1803642195054658
ceft,reference_test,4,2.2423054068781587
ceft,studymod_test,0,2.8867935918354735
ceft,studymod_test,1,2.9518484125000577
ceft,studymod_test,2,2.9044963024927077
ceft,studymod_test,3,2.657744791950823
ceft,studymod_test,4,2.871967227681042
emory,reference_test,0,2.242116686844909
emory,reference_test,1,2.479204967521118
emory,reference_test,2,2.244450879806841
emory,reference_test,3,2.2464991753233865
emory,reference_test,4,2.3851283714086122
emory,studymod_test,0,3.032564060049082
emory,studymod_test,1,3.1734313945613914
emory,studymod_test,2,2.987943537202029
emory,studymod_test,3,2.9317976186379373
emory,studymod_test,4,3.311213696233898
proact_random_cluster,reference_test,0,11.745658229405782
proact_random_cluster,reference_test,1,11.729810339203468
proact_random_cluster,reference_test,2,11.565182410190706
proact_random_cluster,reference_test,3,11.732955292813898
proact_random_cluster,reference_test,4,11.937147213420538
reference_test_baseline,reference_test,0,1.8897694182183675
reference_test_baseline,reference_test,1,1.8945523018445083
reference_test_baseline,reference_test,2,1.881710260503903
reference_test_baseline,reference_test,3,1.8476889517901067
reference_test_baseline,reference_test,4,1.8938927039869036
